#main layout
"About";"Über"
"Contact";"Kontakt"
"Legal";"Rechtl. Hinweise"
"Terms";"Allgemeine Geschäftsbedingungen"
"Privacy";"Datenschutz"
"Report link";"Link anfordern"
"Source code";"Quellcode"
"files indexed";"indexierte Dateien"
"Last indexed files";"letzte indexierte Dateien"
"I. Want. That. File.";"ich will. Diese. Datei"

#search
"Search";"Suchen"
"All";"Alle"
"Direct downloads";"direkt Download"
"Audio";"Audio"
"Video";"Video"
"Image";"Bild"
"Document";"Dokument"
"Software";"Software"
"Archive";"Datei"
"No results for:";"Es gibt leider keine Ergebnisse für:"
"Hey! Write something";"Schreib was!"
"Previous";"Vorherige"
"Next";"Nächste"
"sources";"Quelle"
"of about";"etwa"
"results for";"Ergebnisse für"
"NoTypeCount";"Keine Ergebnisse gefunden für <i>%s</<i>, aber es gibt etwa %d Ergebnisse für Ihre Suche in <a href='%s'>anderen Kategorien</a>."
"Foofind does not allow browse results after page 1000.";"Sorry! Foofind kann keine weiteren Ergebnisse ab Seite 1000 zeigen."
"How to download?";"Wie kann ich eine Datei herunterladen?"
"DownloadExplanation";"Um die Datei herunterladen zu können, benötigen Sie zusätzliche Software. Hier finden Sie einige kompatible Programme:"
"Did you mean %s?";"Meinten Sie %s?"

#advanced search
"All sizes";"jede Größe"
"advanced search";"erweiterte Suche"
"hide advanced search";"erweiterte Suche verbergen"
"Smaller than";"kleiner als"
"Larger than";"größer als"
"All qualities";"alle Dateiqualität"
"or better";"oder besser"
"All years";"alle Jahre"
"Before";"vor"
"Last year";"letztes Jahr"

#metadata
"Artist";"Artist"
"Title";"Titel"
"Author";"Autor"
"Format";"Format"
"Pages";"Seiten"
"Album";"Album"
"Length";"Dauer"
"Bitrate";"Bitrate"
"Genre";"Genre"
"Seconds";"Sekunden"
"Minutes";"Minuten"
"Sources";"Quellen"
"Source";"Quelle"
"Height";"Hoch"
"Width";"Breite"
"Track";"Track"
"Quality";"Qualität"
"Num. of pages";"Seitennummer"
