#main layout
"About";"Acerca de"
"Contact";"Contacto"
"Legal";"Legal"
"Terms";"Términos de uso"
"Privacy";"Política de privacidad"
"Report link";"Reclamar enlace"
"Source code";"Código fuente"
"files indexed";"archivos indexados"
"Last indexed files";"Últimos archivos indexados"
"I. Want. That. File.";"Quiero. Ese. Archivo."

#search
"Search";"Buscar"
"All";"Todos"
"Direct downloads";"Descargas directas"
"Audio";"Audio"
"Video";"Video"
"Image";"Imagen"
"Document";"Documento"
"Software";"Software"
"Archive";"Archivo"

"No results for:";"No hay resultados para:"
"Hey! Write something";"¡Escribe algo!"
"Previous";"Anterior"
"Next";"Siguiente"
"sources";"fuentes"
"of about";"de aprox."
"results for";"resultados para"
"NoTypeCount";"No se han encontrado resultados de <i>%s</i>, pero existen aproximadamente %d resultados para su búsqueda en <a href='%s'>otras categorías</a>."
"Foofind does not allow browse results after page 1000.";"Foofind no permite navegar resultados posteriores a la página 1000."
"How to download?";"¿Cómo descargar?"
"DownloadExplanation";"Para descargar el archivo enlazado en esta página se puede precisar un software externo. Aquí tienes algunos programas compatibles:"

#advanced search
"All sizes";"Todos los tamaños"
"advanced search";"búsqueda avanzada"
"hide advanced search";"ocultar búsqueda avanzada"
"Smaller than";"Menor de"
"Larger than";"Mayor de"
"All qualities";"Cualquier calidad"
"or better";"o superior"
"All years";"Todos los años"
"Before";"Previo a"
"Last year";"Último año"

#metadata
"Artist";"Artista"
"Title";"Título"
"Author";"Autor"
"Format";"Formato"
"Pages";"Páginas"
"Album";"Álbum"
"Length";"Duración"
"Bitrate";"Tasa de bits"
"Genre";"Género"
"Seconds";"Segundos"
"Minutes";"Minutos"
"Sources";"Fuentes"
"Source";"Fuente"
"Height";"Alto"
"Width";"Ancho"
"Track";"Pista"
"Quality";"Calidad"
"Num. of pages";"Nº de páginas"
"Include results from:";"Incluir resultados de:"
"Size";"Tamaño"
"Unpacked size";"Tamaño&nbsp;sin&nbsp;comprimir"
"Colors";"Colores"
"Version";"Versión"
"Name";"Nombre"
"Description";"Descripción"
"Files";"Archivos"
"Soundtype";"Tipo de sonido"
"year";"año"
"years";"años"
"month";"mes"
"months";"meses"
"day";"dia"
"days";"dias"
"hour";"hora"
"hours";"horas"
"minute";"minuto"
"minutes";"minutos"
"second";"segundo"
"seconds";"segundos"

#download
"Loading...";"Cargando..."
"Close";"Cerrar"
"Share this:";"Comparte este enlace:"
"share on facebook";"compartir en facebook"
"share on twitter";"compartir en twitter"
"send by email";"enviar por correo"
"Download";"Descargar"
"Watch";"Ver"
"Your comments";"Tus comentarios"
"since";"hace %d %s"
"Post comment";"Enviar comentario"
"Add a comment";"Añadir un comentario"
"from";"desde"
"I like it!";"¡Me gusta!"
"Booo!";"¡Buuu!"
"Comment published succesfully!";"Comentario publicado con éxito."
"Related files";"Archivos relacionados"

#user profile
"Choose your password:";"Elige tu contraseña:"
"Insert your password (yep, again):";"Introduce tu contraseña (si, otra vez):"
"Please, fill this form to be a Foofind registered member:";"Por favor, rellena este formulario para ser un usuario registrado de Foofind:"
"Nickname:";"Nick:"
"Edit your profile";"Edita tu cuenta"
"Your profile was edited succesfully!";"Tu perfil se ha actualizado con éxito"
"hello,";"hola,"
"logout";"salir"
"login";"acceder"
"Login";"Acceder"
"new user";"nuevo usuario"
"New user";"Nuevo usuario"
"or";"o"
"Register";"Registrarse"
"(If you are a new user, please";"(Si eres un nuevo usuario, por favor"
"register here";"regístrate aquí"
"Choose a nickname:";"Elige un nick:"
"Please, fill this form to be a Foofind registered member.";"Por favor, rellena este formulario para ser un usuario registrado de Foofind."
"User login";"Acceder"
"Remember me";"Recordarme"
"Your location:";"Tu ubicación:"
"Change your password here: (otherwise leave it blank)";"Introduce una nueva contraseña (si no deseas cambiarla, deja este campo en blanco)"
"Save profile";"Guardar cambios"
"You are not allowed to view this page";"No tienes permisos para acceder a esta página"
