#main layout
"About";"Dela"
"Contact";"Kontaktua"




"Source code";"Iturburu kodea"




#search
"Search";"Bilatu"
"All";"Guztiak"
"Direct downloads";"Deskarga zuzenak"
"Audio";"Audioa"
"Video";"Bideoa"
"Image";"Irudia"
"Document";"Dokumentua"

"Archive";"Fitxategia"
"No results for:";"Ez daude emaitzak:"
"Hey! Write something";"Zerbait idatzi!"
"Previous";"Aurrekoa"
"Next";"Hurrengoa"
"sources";"iturriak"






"Did you mean %s?";"Esan nahi al zenuen %s?"

#advanced search











#metadata
"Artist";"Artista"
"Title";"Izenburua"
"Author";"Egile"


"Album";"Albuma"
"Length";"Iarunpena"
"Bitrate";"Bit-tasa"

"Seconds";"Segundu"
"Minutes";"Minutu"
"Sources";"Iturriak"
"Source";"Iturri"





"Quality";"Kalitate"


"Colors";"Koloreak"

"Name";"Izena"



"year";"urte"
"years";"urteak"
"month";"hilabete"
"months";"hilabeteak"
"day";"egun"
"days";"egunak"
"hour";"hordua"
"hours";"horduak"
"minute";"minutu"
"minutes";"minutuak"
"second";"segundu"
"seconds";"segundu"

#download







"Watch";"Ikusi"










#user profile







"hello,";"kaixo,"
"logout";"irten"
























"Yes";"Bai"











"Welcome";"Ongi etorri"






















#contact



















#complaint











#submit links




#about


#footer



#privacy




















































#tos























































#legal



















#error



#translate
"Translate";"Itzuli"
"Help us to translate Foofind.com to your language";"Lagunduiguzu itultzen Foofind.com zure hizkuntzara."





