#main layout
"About";"Tutto su"
"Contact";"Contatti"
"Legal";"Legale"
"Terms";"Termini"
"Privacy";"Privacy"
"Report link";"Feedback"
"Source code";"Codice Sorgente"
"files indexed";"File Indicizzati"
"Last indexed files";"Ultimi File Indicizzati"

#search
"Search";"Cerca"
"All";"Tutto"
"Direct downloads";"Download Diretti"
"Audio";"Audio"
"Video";"Video"
"Image";"Immagini"
"Document";"Documenti"
"Software";"Software"
"Archive";"Archivi"

"No results for:";"Nessun risultato per:"
"Hey! Write something";"Scrivi qualcosa!"
"Previous";"Precedente"
"Next";"Successivo"
"sources";"sorgenti"
"of about";"su"
"results for";"risultati per"
"NoTypeCount";"Nessun risultato è stato trovato per la tua ricerca ..., ma ci sono circa ... risultati per la tua ricerca in altre categorie."
"Foofind does not allow browse results after page 1000.";"Foofind non permette di scorrere i risultati dopo la pagina 1000"
"How to download?";"Come scaricare?"
"DownloadExplanation";"Per scaricare il file linkato, potresti aver bisogno di un software esterno. Qui ci sono alcune applicazioni compatibili:"

#advanced search
"All sizes";"Tutte le dimensioni"
"advanced search";"ricerca avanzata"
"hide advanced search";"nascondi ricerca avanzata"
"Smaller than";"Minore di"
"Larger than";"Maggiore di"
"All qualities";"Qualsiasi qualità"
"or better";"o migliore"
"All years";"Qualsiasi anno"
"Before";"Prima"
"Last year";"Ultimo anno"

#metadata
"Artist";"Artista"
"Title";"Titolo"
"Author";"Autore"
"Format";"Formato"
"Pages";"Pagine"
"Album";"Album"
"Length";"Lunghezza"
"Bitrate";"Bitrate"
"Genre";"Genere"
"Seconds";"Secondi"
"Minutes";"Minuti"
"Sources";"Sorgenti"
"Source";"Sorgente"
"Height";"Altezza"
"Width";"Lunghezza"
"Track";"Traccia"
"Quality";"Qualità"
"Num. of pages";"Numero di pagine"
"Include results from:";"Includi risultati da:"
"Size";"Dimensione"
"Unpacked size";"Dimensione estratto"
"Colors";"Colori"
"Version";"Versione"
"Name";"Nome"
"Description";"Descrizione"
"Files";"Files"
"Soundtype";"Tipo di audio"
"year";"anno"
"years";"anni"
"month";"mese"
"months";"mesi"
"day";"giorno"
"days";"giorni"
"hour";"ora"
"hours";"ore"
"minute";"minuto"
"minutes";"minuti"
"second";"secondo"
"seconds";"secondi"
"Loading...";"Caricamento..."
"Close";"Chiudi"
"Share this:";"Condividi questo:"
"share on facebook";"condividi su facebook"
"share on twitter";"condividi su twitter"
"send by email";"spedisci tramite email"
"Download";"Scarica"
"Watch";"Guarda"
"Your comments";"I tuoi commenti"
"since";"... ... fa"
"Post comment";"Spedisci un commento"
"Add a comment";"Aggiungi un commento"
"from";"da"
"I like it!";"Mi piace!"
"Booo!";"Bhooo!"
"Comment published succesfully!";"Il commento è stato pubblicato correttamente!"
"Related files";"Files collegati"

#user profile
"Choose your password:";"Scegli la tua password:"
"Insert your password (yep, again):";"Inserisci la tua password (ancora una volta):"



"Nickname:";"Nickname:"
"Edit your profile";"edita il tuo profilo"
"Your profile was edited succesfully!";"Il tuo profilo è stato aggiornato con successo!"
"hello,";"ciao"
"logout";"logout"
"login";"login"
"Login";"Login"
"new user";"nuovo utente"
"New user";"nuovo utente"
"or";"o"
"Register";"Registrati"
"(If you are a new user, please";"(Se sei un nuovo utente,"
"register here";"registrati qui"
"Choose a nickname:";"Scegli uno pseudonimo"


"Remember me";"Ricordati di me"


"Save profile";"Salva profilo"

"This username is taken. Please choose another one.";"Questa username è già occupata. Per favore sceglierne una diversa."
"This email is taken. Please use another one.";"Questa username è già occupata. Per favore sceglierne una diversa."



























































#complaint
"Your name:";"Il tuo nome"
"Your surname:";"Il tuo cognome"
















#footer

"Last indexed files.";"Ultimi file indicizzati."




















































#tos
"Terms of use";"Termini di utilizzo"






































































#error
"Foofind.com is under maintenance. Please, come back later.";"Foofind.com è attualmente in fase di manutenzione. Torna più tardi."
"This link does not exist or may have been deleted!";"Il link non esiste o potrebbe essere stato eliminato!"

#translate
"Translate";"Traduci"
"Help us to translate Foofind.com to your language";"Aiutaci a tradurre Foofind.com nella tua lingua"
"translate text";"Foofind.com attualmente è disponibile in poche lingue, ma puoi aiutarci a tradurle nella tua lingua. Basta che scegli la tua lingua dalla seguente lista e riempi i campi con il testo tradotto. Non c'è bisogno che completi tutti i campi, qualsiasi aiuto sarà apprezzato. Se la tua lingua non è nella lista, contattaci per aggiungerla."
"Choose language";"Scegli lingua"
"Your translation has been sent. Thanks for your help!";"La tua traduzione è stata inviata. Grazie per il tuo aiuto!"
"Please, translate at least one text.";"Per favore, traduci almeno un campo."
