#main layout
"About";"について"
"Contact";"お問い合わせ"
"Legal";"法的"
"Terms";"利用規約"
"Privacy";"プライバシー"
"Report link";"リンクレポート"
"Source code";"ソースコード"
"files indexed";"インデックスファイル"
"Last indexed files";"最後に、ファイルは索引をつけました。"
"I. Want. That. File.";"私は欲しいです。 それ。 ファイルします。"

#search
"Search";"検索"
"All";"すべて"
"Direct downloads";"ダイレクト ダウンロード"
"Audio";"オーディオ"
"Video";"動画"
"Image";"画像"
"Document";"ドキュメント"
"Software";"ソフトウェア"
"Archive";"アーカイブ"
"No results for:";"以下のための結果がありません"
"Hey! Write something";"何かを書いてください"
"Previous";"戻る"
"Next";"次へ"
"sources";"ソース"
"of about";"について"
"results for";"結果"
"NoTypeCount";"結果は全く…でのあなたの検索に関して見つけられませんでした。, しかし、…結果があなたの検索のために周囲に他のカテゴリにあります。"
"Foofind does not allow browse results after page 1000.";"Foofindは1000年ページ以降、ブラウズの結果を許容しません。"
"How to download?";"ダウンロードする方法?"
"DownloadExplanation";"繋がっているファイルをダウンロードするために、あなたは外部のソフトウェアを必要としたかもしれません。 ここに、いくつかのコンパチブル利用があります:"

#advanced search
"All sizes";"全サイズ"










#metadata
"Artist";"アーティスト"
"Title";"タイトル"

"Format";"フォーマット"
"Pages";"ページ"






"Sources";"ソース"
"Source";"ソース"






"Size";"サイズ"

"Colors";"色"
"Version";"バージョン"


"Files";"ファイル"

"year";"年"
"years";"年"
"month";"月"
"months";"月"
"day";"日"
"days";"日"
"hour";"時"
"hours";"時"
"minute";"分"
"minutes";"分"
"second";"秒"


#download






"Download";"ダウンロード"











#user profile






"hello,";"こんにちは、"
"logout";"ログアウト"
"login";"ログイン"
"Login";"ログイン"


















"Password:";"パスワード"


"Yes";"はい"

































#contact



















#complaint











#about


#footer



#privacy


















































#tos






















































#legal
















#error



#translate



"Choose language";"言語を選択してください"
