#main layout
"About";"Sobre"
"Contact";"Fale conosco"
"Legal";"Aviso legal"
"Terms";"Termos e condições"
"Privacy";"Privacidade"
"Report link";"Reportar ligação"
"Source code";"Código fonte"
"files indexed";"arquivos indexados"
"Last indexed files";"Últimos arquivos indexados"
"I. Want. That. File.";"Eu. Quero. Aquele. Arquivo."

#search
"Search";"Procura"
"All";"Tudo"
"Direct downloads";"Downloads diretos"
"Audio";"Áudio"
"Video";"Vídeo"
"Image";"Imagem"
"Document";"Documento"
"Software";"Programa"
"Archive";"Arquivo"
"No results for:";"Nenhum resultado para:"
"Hey! Write something";"Ei! Escreva alguma coisa!!"
"Previous";"Anterior"
"Next";"Próximo"
"sources";"fontes"
"of about";"aproximadamente"
"results for";"resultados para"
"NoTypeCount";"Nenhum resultado foi encontrado para sua pesquisa sobre <i>%s</<i>, mas há aproximadamente %d resultados para sua pesquisa em <a href='%s'>outras categorias</a>. "
"Foofind does not allow browse results after page 1000.";"Foofind não permite pesquisar resultados depois da página 1000."
"How to download?";"Como baixar?"
"DownloadExplanation";"Para baixar o arquivo nesta ligação, você precisa de um software externo. Veja aqui alguns aplicativos compatíveis."

#advanced search
"All sizes";"Todos os tamanhos"
"advanced search";"Busca avançada"
"hide advanced search";"ocultar busca avançada"
"Smaller than";"menor que"
"Larger than";"maior que"
"All qualities";"todas as qualidades"
"or better";"ou melhor"
"All years";"todos os anos"
"Before";"antes"
"Last year";"neste ano"

#metadata
"Artist";"artista"
"Title";"título"
"Author";"autor"
"Format";"formato"
"Pages";"páginas"
"Album";"álbum"
"Length";"comprimento"
"Bitrate";"bitrate"
"Genre";"gênero"
"Seconds";"segundos"
"Minutes";"minutos"
"Sources";"fontes"
"Source";"fonte"
"Height";"altura"
"Width";"largura"
"Track";"faixa"
"Quality";"qualidade"
"Num. of pages";"nº de páginas"
"Include results from:";"Incluir resultados de:"
"Size";"Tamanho"
"Unpacked size";"Tamanho descompactado"
"Colors";"Cores"
"Version";"Versão"
"Name";"Nome"
"Description";"Descrição"
"Files";"Arquivos"
"Soundtype";"Tipo sonoro"
"year";"ano"
"years";"anos"
"month";"mês"
"months";"meses"
"day";"dia"
"days";"dias"
"hour";"hora"
"hours";"horas"
"minute";"minuto"
"minutes";"minutos"
"second";"segundo"
"seconds";"segundos"

#download
"Loading...";"Carregando..."
"Close";"Fechar"
"Share this:";"Compartilhe"
"share on facebook";"Compartilhe no Facebook"
"share on twitter";"Compartilhe no Twitter"
"send by email";"Enviar por email"
"Download";"Download"
"Watch";"Assista"
"Your comments";"Comentários"
"since";"%d %s atrás"
"Post comment";"Comentar"
"Add a comment";"Adicionar comentário"
"from";"de"
"I like it!";"Gostei!"
"Booo!";"Buuuu!"
"Comment published succesfully!";"Comentário publicado com sucesso!"
"Related files";"Arquivos relacionados"

#user profile
"Choose your password:";"Escolha sua senha:"
"Insert your password (yep, again):";"Insira sua senha (de novo!)"
"Please, fill this form to be a Foofind registered member:";"Por favor, preencha este formulário para ser um membro registrado do Foofind:"
"Nickname:";"Apelido"
"Edit your profile";"Edite seu perfil"
"Your profile was edited succesfully!";"Seu perfil foi editado com sucesso!"
"hello,";"oi,"
"logout";"sair"
"login";"entrar"
"Login";"Entrar"
"new user";"usuário novo"
"New user";"Usuário novo"
"or";"ou"
"Register";"Registre-se"
"(If you are a new user, please";"(Se você é um usuário novo, por favor"
"register here";"registre-se aqui"
"Choose a nickname:";"Escolha um nickname"
"Please, fill this form to be a Foofind registered member.";"Por favor, preencha este formulário para ser um membro registrado do Foofind."
"User login";"Login"
"Remember me";"Lembrete"
"Your location:";"Localização"
"Change your password here: (otherwise leave it blank)";"Troque sua senha aqui: (ou ainda deixe em branco)"
"Save profile";"Salvar perfil"
"You are not allowed to view this page";"Não é permitido visualizar esta página"
"This username is taken. Please choose another one.";"Esse nome de usuário está sendo usado. Por favor, escolha outro."
"This email is taken. Please use another one.";"Este email está sendo usado. Por favor, escolha outro."
"Forgot";"Esqueceu"
"your password?";"sua senha?"
"Password:";"Senha"
"'%password%' is less than 5 characters long";"'%password%' com menos de cinco caracteres"
"Are you sure you want to delete your foofind account?";"Você quer apagar sua conta no Foofind?"
"Yes";"Sim"
"Your account has been deleted.";"Sua conta foi apagada."
"Nice to hear that";"Legal saber que"
"profile";"perfil"
"edit profile";"Editar perfil"
"User name:";"Nome de usuário:"
"Member since:";"Membro desde:"
"Last 5 comments:";"Últimos 5 comentários"
"Location:";"Localização"
"Delete your foofind.com account";"Apagar sua conta no foofind.com"
"Forgot your password?";"Esqueceu sua senha?"
"Wrong email or password, please try again";"Senha ou email errado, por favor tente de novo"
"Welcome";"Bem-vindo"
"Please, click on this url to finish your register process:";"Por favor, clique neste URL para terminar seu processo de registro:"
"Sorry, this token does not exist or has been already used";"Sinto muito, o token não existe ou já está sendo usado."
", confirm your email";", confirme seu email"
", restore your foofind access";", recupere seu acesso ao foofind"
"Please, enter your email address. An email to recover your access will be sent to you.";"Por favor, insira seu endereço de email. Uma mensagem para recuperar seu acesso será enviada a você."
"Check your inbox email to restore your foofind.com access";"Verifique sua caixa de mensaqgens para recuperar o acesso ao foofind.com"
"Check your inbox email to finish the register process";"Verifique sua caixa de mensagens para terminar o processo de registro."
"Somebody, probably you, wants to restore your foofind access. Click on this url to restore your foofind account:";"Alguém quer recuperar seu acesso ao foofind. Clique neste URL para recuperar sua conta do foofind."
"Otherwise, ignore this message.";"Ao contrário, ignore esta mensagem."
"The foofind team.";"A equipe do foofind"
"This user does not exist";"Este usuário não existe"

"You are now logged in,";"Você está logado."
"(If you already are a registered user, please";"(Se você já é um usuário registrado, por favor"
"login here";"faça login aqui"
"Send";"Enviar"
"The email address must be the same you used to register.";"O endereço de email deve ser o mesmo usado para o registro."
"This email is not in our database. Please, try again.";"Este email não está em nosso banco de dados. Por favor, tente de novo"
"Please, login to vote";"Por favor, faça login para voltar"
"Please, login to comment";"Por favor, faça logion para comentar"

#contact
"Contact form";"Formulário de contato"
"Note: If you are claiming for a link removal, you must use <a href='/en/page/complaint'>report link form</a>.";"Nota: se você está solicitando uma remoção de link, deve usar o <a href='/pt/page/complaint'>formulário próprio</a>."
"Complaints done trough this form will be ignored.";"Reclamações através deste formulário serão ignoradas."
"Your email:";"Seu email:"
"Your message:";"Sua mensagem:"
"Please, insert the 5 characters shown:";"Por favor, insira os 5 caracteres mostrados:"
"Value is required and can't be empty";"O valor é necessário e não pode ser nulo"
"Captcha value is wrong";"O valor do "captcha" está errado"
"'%value%' is less than 20 characters long";"'%value%' tem menos que 20 caracteres"
"'%value%' is less than 9 characters long";"'%value%' tem menos de 9 caracteres"
"'%value%' is less than 5 characters long";"'%value%' tem menos de 5 caracteres"
"'%value%' is less than %min% characters long";"'%value%' tem menos que '%min%' caracteres"
"'%value%' is no valid email address in the basic format local-part@hostname";"'%value%' não é um email válido no formato local-part@hostname"




"Message sent successfully!";"Mensagem enviada com sucesso!"

#complaint
"Your name:";"Nome"
"Your surname:";"Sobrenome"
"Your company:";"Empresa"
"Your phone number:";"Telefone"
"Please, insert the link to be reviewed:";"Por favor, coloque o link a ser revisado:"
"Please, insert the url where this content appears:";"Por favor, coloque a URL onde o conteudo aparece:"
"Reason of your complaint:";"Motivo da sua reclamação:"
"'%value%' contains characters which are non alphabetic and no digits";"'%value%' contem caracteres que não são letras ou numeros"
"literal_check_agree";"Eu li e aceito os <a href='/pt/page/tos'>termos de uso</a> e a <a href='/pt/page/privacy'>política de privacidade</a>."
"Please, accept the terms of use and privacy policy";"Por favor, aceite os termos de uso e a política de privacidade"

#about
"this is the about text";"Foofind é um motor de busca. Nele trabalhamos criando um programa que procura em todas as redes e indexa cada arquivo. Desta forma, pretendemos oferecer o maior conjunto de links disponível. Foofind é uma criação de Pablo Soto, programador P2P, desenvolvida em Madri, Espanha, por MP2P Technologies. "

#footer

"Last indexed files.";"Últimos arquivos indexados"

#privacy


















































#tos
"Terms of use";"Termos de uso"






















































#legal















#error
"Foofind.com is under maintenance. Please, come back later.";" Foofind está em manutenção. Por favor, volte mais tarde."
"This link does not exist or may have been deleted!";"O link não existe ou foi deletado!"

#translate
"Translate";"Traduzir"
"Help us to translate Foofind.com to your language";"Ajude a traduzir Foofind.com no seu idioma"
"translate text";"Foofind.com está disponível em alguns idiomas, mas você pode nos ajudar a traduzir em sua língua. Escolha na lista e preencha os campos com os textos traduzidos. Você não precisa preencher todos para enviar o formulário, e qualquer ajuda será bem-vinda.<br/><br/>Se seu idioma não aparece na lista, por favor, fale conosco para que seja adicionado. "
"Choose language";"Escolha o idioma"
"Your translation has been sent. Thanks for your help!";"Sua tradução foi enviada. Obrigado por sua ajuda!"
"Please, translate at least one text.";"Por favor, traduza pelo menos um texto."
"BetaTranslation";"Esta tradução está em fase de testes. Se você encontrar falhas ou erros, por favor, <a href='%s'>entre em contato</a>."
"Other";"Outros"
