#main layout
"About";"Dela"
"Contact";"Kontaktua"




"Source code";"Iturburu kodea"




#search
"Search";"Bilatu"
"All";"Guztiak"
"Direct downloads";"Deskarga zuzenak"
"Audio";"Audioa"
"Video";"Bideoa"
"Image";"Irudia"
"Document";"Dokumentua"

"Archive";"Fitxategia"


"Previous";"Aurrekoa"
"Next";"Hurrengoa"
"sources";"iturriak"








#advanced search











#metadata





















"Colors";"Koloreak"

"Name";"Izena"



"year";"urte"
"years";"urteak"
"month";"hilabete"
"months";"hilabeteak"
"day";"egun"
"days";"egunak"
"hour";"hordua"
"hours";"horduak"
"minute";"minutu"
"minutes";"minutuak"



#download







"Watch";"Ikusi"










#user profile







"hello,";"kaixo,"
"logout";"sartu"
























"Yes";"Bai"











"Welcome";"Ongi etorri"






















#contact



















#complaint











#submit links




#about


#footer



#privacy




















































#tos























































#legal
















#error



#translate







