#main layout
"About";"À propos de"
"Contact";"Contacter"
"Legal";"Légal"
"Terms";"Termes"
"Privacy";"Privé"

"Source code";"Code source"
"files indexed";"fichiers indexés"
"Last indexed files";"Derniers fichiers indexés"

#search
"Search";"Rechercher"
"All";"Tout"
"Direct downloads";"Téléchargement direct"
"Audio";"Audio"
"Video";"Vidéo"
"Image";"Image"
"Document";"Documents"
"Software";"Programmes"
"Archive";"Archives"

"No results for:";"Pas de résultat pour :"

"Previous";"Précédent"
"Next";"Suivant"
"sources";"Sources"

"results for";"Résultats pour"


"How to download?";"Comment telecharger"


#advanced search
"All sizes";"Toutes tailles"
"advanced search";"recherche avancée"






"Before";"Avant"
"Last year";"l'année dernière"

#metadata
"Artist";"Artiste"
"Title";"Titre"
"Author";"Auteur"
"Format";"Format"
"Pages";"Pages"
"Album";"Album"


"Genre";"Genres"
"Seconds";"Secondes"
"Minutes";"Minutes"
"Sources";"Sources"
"Source";"Source"
"Height";"Poid"

"Track";"Piste"
"Quality";"Qualité"
"Num. of pages";"Nbr. de pages"
"Include results from:";"Inclure resultat de"
"Size";"Taille"

"Colors";"Couleurs"
"Version";"Version"
"Name";"Nom"
"Description";"Description"
"Files";"Fichiers"
"Soundtype";"Genre de son"
"year";"année"
"years";"années"
"month";"mois"
"months";"mois"
"day";"jour"
"days";"jours"
"hour";"heure"
"hours";"heures"
"minute";"minute"
"minutes";"minutes"
"second";"seconde"
"seconds";"secondes"

#download
"Loading...";"Chargement..."
"Close";"Cermé"



"send by email";"envoyer par couriel"
"Download";"Téléchargement"
"Watch";"Voir"
"Your comments";"Vos commentaires"


"Add a comment";"Ajouter un commentaire"
"from";"de"
"I like it!";"j'aime ça!"




#user profile
"Choose your password:";"Choississez votre mot de passe"
"Insert your password (yep, again):";"Enrez votre mot de passe"




"hello,";"Bonjour"




"New user";"Nouvel utilisateur"

"Register";"Enregistrement"














"Password:";"Code"

"Yes";"Oui"
"Your account has been deleted.";"Votre accompte a ete suprime"


















"Forgot your password?";"Mot de passe oublie"

"Welcome";"Bienvenue"


", confirm your email";", confirmez votre adresse e-mail"







"This link does not exist or may have been deleted!";"Ce lien n existe pas ou a etait efface"













"Message sent successfully!";"Message envoyé avec succés"
"Your name:";"Votre nom"
"Your surname:";"Votre prénom"
"Your company:";"Votre société"
"Your phone number:";"Votre numéro de téléphone"








"Last indexed files.";"Derniers fichiers indexés"

"Foofind.com is under maintenance. Please, come back later.";"Le site Foofind.com est en maintenance. reconnectez vous plus tard SVP!"

"Translate";"Traduire"
"Help us to translate Foofind.com to your language";"Aidez nous à traduire foofind dans votre langue"

"Choose language";"Choisissez votre langue"
"Your translation has been sent. Thanks for your help!";"Votre traduction a été envoyé. Merci de votre aide!"
