#main layout
"About";"Sobre"
"Contact";"Contacto"
"Legal";"Aviso legal"
"Terms";"Termos de uso"
"Privacy";"Política de ligazón"
"Report link";"Reclamar enlace"
"Source code";"Código fonte"
"files indexed";"Arquivos indexados"
"Last indexed files";"Últimos arquivos indexados"
"I. Want. That. File.";"Quero. Ese. Arquivo."

#search
"Search";"Buscar"
"All";"Todos"
"Direct downloads";"Descargas directas"
"Audio";"Son"
"Video";"Vídeo"
"Image";"Imaxe"
"Document";"Documento"
"Software";"Software"
"Archive";"Arquivo"
"No results for:";"Non hai resultados para:"
"Hey! Write something";"Escribe algo!"
"Previous";"Anterior"
"Next";"Seguinte"
"sources";"orixes"
"of about";"de aprox."
"results for";"resultados para"
"NoTypeCount";"Non se atoparon resultados de <i>%s</<i>, mais existen aproximadamente %d resultados para a súa busca noutras categorías."
"Foofind does not allow browse results after page 1000.";"Foofind non permite examinar resultados máis aló da páxina 1000."
"How to download?";"Cómo descargar?"
"DownloadExplanation";"Para descargar o arquivo ligado nesta páxina pode precisar dun software externo. aquí tes algúns programas compatibles:"
"Did you mean %s?";"Quixeches dicir %s?"

#advanced search
"All sizes";"Todos os tamaños"
"advanced search";"busca avanzada"
"hide advanced search";"agochar a busca avanzada"
"Smaller than";"Menor de"
"Larger than";"Maior de"
"All qualities";"Calquera calidade"
"or better";"ou superior"
"All years";"Todos os anos"
"Before";"Anterior a"
"Last year";"Último ano"

#metadata
"Artist";"Interprete"
"Title";"Título"
"Author";"Autor"
"Format";"Formato"
"Pages";"Páxinas"
"Album";"Álbum"
"Length";"Duración"
"Bitrate";"Taxa de bits"
"Genre";"Xénero"
"Seconds";"Segundos"
"Minutes";"Minutos"
"Sources";"Orixes"
"Source";"Orixe"
"Height";"Alto"
"Width";"Ancho"
"Track";"Pista"
"Quality";"Calidade"
"Num. of pages";"Num. de páxinas"
"Include results from:";"Incluír resultados de:"
"Size";"Tamaño"
"Unpacked size";"Tamaño sen comprimir"
"Colors";"Cores"
"Version";"Versión"
"Name";"Nome"
"Description";"Descrición"
"Files";"Arquivos"
"Soundtype";"Tipo de son"
"year";"ano"
"years";"anos"
"month";"mes"
"months";"meses"
"day";"día"
"days";"días"
"hour";"hora"
"hours";"horas"
"minute";"minuto"
"minutes";"minutos"
"second";"segundo"
"seconds";"segundos"

#download
"Loading...";"Cargando..."
"Close";"Pechar"
"Share this:";"Comparte esa ligazón:"
"share on facebook";"compartir en facebook"
"share on twitter";"compartir en twitter"
"send by email";"enviar por correo"
"Download";"Descargar"
"Watch";"Ver"
"Your comments";"Os teus comentarios"
"since";"vai %d %s"
"Post comment";"Enviar comentario"
"Add a comment";"Engadir un comentario"
"from";"dende"
"I like it!";"Gústame!"
"Booo!";"Buuu!"
"Comment published succesfully!";"Comentario publicado satisfactoriamente"
"Related files";"Arquivos relacionados"

#user profile
"User profile";"Perfil do usuario"
"Choose your password:";"Escolle o teu contrasinal:"
"Insert your password (yep, again):";"Introduce o teu contrasinal (si, outra vez):"
"Please, fill this form to be a Foofind registered member:";"Por favor, enche este formulario pra ser un usuario rexistrado de Foofind:"
"Nickname:";"Alcume:"
"Edit your profile";"Edita a túa conta"
"Your profile was edited succesfully!";"O teu perfil foi actualizado satisfactoriamente!"
"hello,";"ola,"
"logout";"saír"
"login";"iniciar sesión"
"Login";"Iniciar sesión"
"new user";"novo usuario"
"New user";"Novo usuario"
"or";"o"
"Register";"Rexistrarse"
"(If you are a new user, please";"(Se es un novo usuario, por favor"
"register here";"rexístrate aquí"
"Choose a nickname:";"Escolle un alcume:"
"Please, fill this form to be a Foofind registered member.";"Por favor, enche este formulario para ser un usuario rexistrado de Foofind."
"User login";"Acceder"
"Remember me";"Lembrarme"
"Your location:";"A túa localización:"
"Change your password here: (otherwise leave it blank)";"Introduce un novo contrasinal (se non desexas cambialo, deixa este campo baleiro)"
"Save profile";"Gardar cambios"
"You are not allowed to view this page";"Non tes permisos pra acceder a esta páxina"
"This username is taken. Please choose another one.";"Ese nome de usuario xa existe. Escolle outro diferente."
"This email is taken. Please use another one.";"Ese correo xa existe na nosa base de datos. Usa outro diferente."
"Forgot";"¿Esqueciches"
"your password?";"o teu contrasinal?"
"Password:";"Contrasinal:"
"'%password%' is less than 5 characters long";"'%password%' ten menos de 5 caracteres"
"The passwords entered do not match.";"Os contrasinais introducidos non coinciden."
"Are you sure you want to delete your foofind account?";"Estás seguro de querer eliminar a túa conta de Foofind?"
"Yes";"Si"
"Your account has been deleted.";"A túa conta foi eliminada."
"Nice to hear that";"Aledámonos por iso"
"profile";"perfil"
"edit profile";"editar perfil"
"User name:";"Alcume:"
"Member since:";"Membro desde:"
"Last 5 comments:";"Últimos 5 comentarios:"
"Location:";"Localización:"
"Delete your foofind.com account";"Eliminar a túa conta de foofind.com"
