#main layout
"About";"について"
"Contact";"お問い合わせ"
"Legal";"法的"
"Terms";"利用規約"
"Privacy";"プライバシー"
"Report link";"リンクレポート"
"Source code";"ソースコード"
"files indexed";"インデックスファイル"


#search
"Search";"検索"
"All";"すべて"
"Direct downloads";"ダイレクト ダウンロード"
"Audio";"オーディオ"
"Video";"動画"
"Image";"画像"
"Document";"ドキュメント"
"Software";"ソフトウェア"
"Archive";"アーカイブ"

"No results for:";"以下のための結果がありません"
"Hey! Write something";"何かを書いてください"
"Previous";"戻る"
"Next";"次へ"
"sources";"ソース"







#advanced search











#metadata
"Artist";"アーティスト"
"Title";"タイトル"

"Format";"フォーマット"
"Pages";"ページ"






"Sources";"ソース"
"Source";"ソース"






"Size";"サイズ"

"Colors";"色"
"Version";"バージョン"


"Files";"ファイル"

"year";"年"
"years";"年"
"month";"月"
"months";"月"
"day";"日"
"days";"日"
"hour";"時"
"hours";"時"
"minute";"分"
"minutes";"分"
"second";"秒"


#download


















#user profile






"hello,";"こんにちは、"
"logout";"ログアウト"
"login";"ログイン"
"Login";"ログイン"


















"Password:";"パスワード"


"Yes";"はい"

































#contact



















#complaint











#about


#footer



#privacy


















































#tos






















































#legal
















#error



#translate



"Choose language";"言語を選択してください"
