#main layout
"About";"关于"
"Contact";"连接"
"Legal";"法律"
"Terms";"时代"
"Privacy";"隐私"
"Report link";"报告"
"Source code";"源代码"
"files indexed";"文件目录"
"Last indexed files";"最后索引的文件"
"I. Want. That. File.";"我想知道这个文件"

#search
"Search";"查找"
"All";"所有"
"Direct downloads";"直接下载"
"Audio";"音频"
"Video";"视频"
"Image";"想象"
"Document";"文档"
"Software";"软件"
"Archive";"达到"

"No results for:";"没有结果"
"Previous";"上一个"
"Next";"下一个"
"sources";"可链接数"
"of about";"关于"
"results for";"结果"



"How to download?";"怎样下载"










"All years";"全年"














"Minutes";"分"
"Sources";"资源"

"Height";"高度"







"Colors";"颜色"

"Name";"名字"












































































































































































































































































#translate



"Choose language";"选择语言"

"Please, translate at least one text.";"请至少一个文本翻译"
