"Previous";"Anterior"
"Next";"Siguiente"



#main layout

"About foofind";"Acerca de foofind"

"About";"Acerca de"
"Contact";"Contacto"
"Legal";"Legal"
"Terms";"Términos de uso"
"Privacy";"Privacidad"
"Licenses";"Licencias"

"Links";"Enlaces"
"Submit links";"Enviar enlace"
"Report links";"Reclamar enlace"
"Developers";"Desarrolladores"
"Source code";"Código fuente"


"files indexed";"archivos indexados"

#search
"Search";"Buscar"
"All";"Todos"
"Audio";"Audio"
"Video";"Video"
"Image";"Imagen"
"Document";"Documento"
"Software";"Software"
"Archive";"Archivo"
"No results.";"No hay resultados."

"All sources";"Todos los tipos"
"BitTorrent";"BitTorrent"
"Emule";"Emule"
"Limewire";"Limewire"
"Direct download";"Descarga directa"
"Jamendo";"Jamendo"

"All sizes";"Todos los tamaños"
"Show options...";"Mostrar opciones..."
"Hide options";"Ocultar opciones"
"Smaller than";"Menor de"
"Larger than";"Mayor de"
